timestamp,id,success,client_type,target_addr,domain,latency_ms
2025-06-26T22:44:57.768653024Z,745,true,malicioso,dns_udp:53,example.com.,91
2025-06-26T22:44:57.768682952Z,1489,true,malicioso,dns_udp:53,example.com.,84
2025-06-26T22:44:57.768713941Z,139,true,malicioso,dns_udp:53,example.com.,94
2025-06-26T22:44:57.768762957Z,601,true,malicioso,dns_udp:53,example.com.,91
2025-06-26T22:44:57.768793804Z,989,true,malicioso,dns_udp:53,example.com.,84
2025-06-26T22:44:57.768824589Z,465,true,malicioso,dns_udp:53,example.com.,93
2025-06-26T22:44:57.76950475Z,7,true,malicioso,dns_udp:53,example.com.,95
2025-06-26T22:44:57.769569239Z,433,true,malicioso,dns_udp:53,example.com.,94
2025-06-26T22:44:57.769601956Z,487,true,malicioso,dns_udp:53,example.com.,91
2025-06-26T22:44:57.769632317Z,604,true,malicioso,dns_udp:53,example.com.,92
2025-06-26T22:44:57.769671511Z,618,true,malicioso,dns_udp:53,example.com.,93
2025-06-26T22:44:57.769705872Z,278,true,malicioso,dns_udp:53,example.com.,95
2025-06-26T22:44:57.769763036Z,653,true,malicioso,dns_udp:53,example.com.,92
2025-06-26T22:44:57.769794573Z,419,true,malicioso,dns_udp:53,example.com.,95
2025-06-26T22:44:57.769824451Z,424,true,malicioso,dns_udp:53,example.com.,95
2025-06-26T22:44:57.769975386Z,557,true,malicioso,dns_udp:53,example.com.,93
2025-06-26T22:44:57.770014708Z,796,true,malicioso,dns_udp:53,example.com.,93
2025-06-26T22:44:57.770046124Z,87,true,malicioso,dns_udp:53,example.com.,95
2025-06-26T22:44:57.77007541Z,1466,true,malicioso,dns_udp:53,example.com.,87
2025-06-26T22:44:57.7701295Z,876,true,malicioso,dns_udp:53,example.com.,86
2025-06-26T22:44:57.770166256Z,874,true,malicioso,dns_udp:53,example.com.,87
2025-06-26T22:44:57.77020438Z,889,true,malicioso,dns_udp:53,example.com.,87
2025-06-26T22:44:57.770239035Z,732,true,malicioso,dns_udp:53,example.com.,94
2025-06-26T22:44:57.770277201Z,1016,true,malicioso,dns_udp:53,example.com.,90
2025-06-26T22:44:57.770309591Z,753,true,malicioso,dns_udp:53,example.com.,94
